,Phenotype,o_1,o_2,o_3,o_4
150,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
151,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
152,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
153,x[7] -= 9,0.5686062872409821,0.02777777798473835,0.1111111111111111,0.15484657883644104
154,x[6] += 1.1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
155,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
156,x[1] ^= 1,0.6333969831466675,0.1111111119389534,0.1111111111111111,0.2284087836742401
157,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
158,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
159,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
160,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
161,x[7] += 4,0.6629938185214996,0.012345679104328156,0.1111111111111111,0.1839640587568283
162,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
163,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
164,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
165,x[6] -= 0.6,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
166,x[0] += 9,0.5941331386566162,0.05263157933950424,0.1111111111111111,0.17096863687038422
167,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
168,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
169,x[6] -= 0.5,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
170,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
171,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
172,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
173,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
174,x[7] += 9,0.6996151208877563,0.02777777798473835,0.1111111111111111,0.19498701393604279
175,x[8] -= 9,10000.0,10000.0,10000.0,10000.0
176,x[6] -= 1.2,0.6322492361068726,2.7536831112229265e-05,0.1111111111111111,0.17203055322170258
177,x[7] += 7,0.685236930847168,0.021604938432574272,0.1111111111111111,0.19057783484458923
178,x[1] ^= 1,0.6333969831466675,0.1111111119389534,0.1111111111111111,0.2284087836742401
179,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
180,x[6] -= 1,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
181,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
182,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
183,x[7] += 4,0.6629938185214996,0.012345679104328156,0.1111111111111111,0.1839640587568283
184,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
185,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
